t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0.01,0,0,0,0.305291667,-0.082925011,0.003793262,0.277438117,0.084034036,0.313710253,-0.268794912,0.036131029,0.004609732,9.840172821
0.01,0,0,0,0.310019388,-0.085882763,0.003432123,0.280087435,0.054483923,0.266546071,-0.345728414,0.023934575,0.015184992,9.841526106
0.01,0,0,0,0.314808501,-0.085483888,0.000784067,0.284588242,-0.016263652,0.313283316,-0.272760354,0.027804865,0.008969817,9.817544184
0.01,0,0,0,0.318315833,-0.085172057,0.00293409,0.289115944,0.108349712,0.25196519,-0.498693575,0.027347958,0.039059867,9.844555172
0.01,0,0,0,0.326101246,-0.088539284,0.003041861,0.296422168,-0.076805494,0.260628451,-0.223922278,0.036567752,0.03730814,9.821977249
0.01,0,0,0,0.330438403,-0.090763773,0.003476861,0.301910057,0.124255879,0.314355154,-0.151024021,0.018812583,0.015710245,9.829114522
0.01,0,0,0,0.336571333,-0.091924904,0.005405816,0.306179333,0.027303396,0.390862436,-0.307364463,0.026212771,0.034615424,9.830037948
0.01,0,0,0,0.340268841,-0.093686975,0.006994169,0.309378957,0.02064691,0.185789123,-0.362377425,0.029393276,0.022712748,9.83884047
0.01,0,0,0,0.343784842,-0.093058325,0.008289759,0.3141743,-0.026000414,0.472721674,-0.457447275,0.028208401,0.01965776,9.831926039
0.01,0,0,0,0.34939636,-0.095968697,0.008301524,0.316764278,0.038322003,0.244318493,-0.261369672,0.021485695,0.016413712,9.854551076
0.01,0,0,0,0.354232755,-0.096072647,0.005905411,0.321162503,0.166363903,0.296877608,-0.242776344,0.040988933,0.011199692,9.841483168
0.01,0,0,0,0.359993459,-0.098175153,0.00611893,0.322941891,0.049354042,0.348316508,-0.377478194,0.028748954,0.030472555,9.84423222
0.01,0,0,0,0.364672989,-0.09926016,0.008866204,0.326615238,0.061123962,0.272363782,-0.425667688,0.028271818,0.028029187,9.82781008
0.01,0,0,0,0.369412874,-0.100816718,0.006738658,0.33049443,-0.046273578,0.331300533,-0.289883289,0.048155544,0.033028713,9.843120487
0.01,0,0,0,0.374975443,-0.101337036,0.004992811,0.334409649,0.139504118,0.23778958,-0.36320071,0.025683276,0.027314834,9.828027206
0.01,0,0,0,0.37990177,-0.103956972,0.004556128,0.337220879,0.020245999,0.36378188,-0.271910474,0.047373705,0.035673713,9.83642652
0.01,0,0,0,0.385420949,-0.105105639,0.002350452,0.341036607,0.00157462,0.330704613,-0.178763229,0.027937085,0.034266228,9.847119639
0.01,0,0,0,0.389308057,-0.103862947,0.001314678,0.345041931,0.006248376,0.251177227,-0.277387378,0.033150528,0.027930664,9.828624434
0.01,0,0,0,0.394592013,-0.101858623,0.003391909,0.348301331,0.042756282,0.301527893,-0.239565395,0.036510681,0.037786855,9.837307233
0.01,0,0,0,0.39822627,-0.103426558,0.004208361,0.352710537,0.19700197,0.326366731,-0.313797128,0.035657812,0.024117663,9.846726573
0.01,0,0,0,0.404106212,-0.105293341,0.003316641,0.356729649,-0.047106027,0.22563263,-0.330847143,0.007434018,0.016276171,9.833521596
0.01,0,0,0,0.406627967,-0.10697384,0.002725109,0.360738397,0.054593005,0.313835141,-0.371446465,0.044803825,0.029540719,9.837211835
0.01,0,0,0,0.411289187,-0.107653586,0.000963891,0.365923491,-0.013842131,0.346874281,-0.374560319,0.044075745,0.021501915,9.834587837
0.01,0,0,0,0.415799625,-0.109968071,0.001193073,0.36738475,0.03275458,0.244569631,-0.362419369,0.046526601,0.018169611,9.837600162
0.01,0,0,0,0.421932489,-0.111815966,0.001730557,0.370235835,0.035359045,0.198383256,-0.160417834,0.02679017,0.032538147,9.8463053
0.01,0,0,0,0.425555226,-0.115086186,0.005520598,0.37364337,0.060953002,0.238296603,-0.172684107,0.018644658,0.020981277,9.840676664
0.01,0,0,0,0.42964692,-0.117856745,0.007023415,0.379477238,-0.09568146,0.212054131,-0.232553529,0.025087054,0.013802202,9.847305597
0.01,0,0,0,0.434391333,-0.119338256,0.007675204,0.383236534,0.062004472,0.301077028,-0.136501023,0.020275117,0.040576429,9.850251355
0.01,0,0,0,0.438826233,-0.120813661,0.008343324,0.389269565,-0.04883465,0.276079319,-0.359095087,0.049189692,0.025229949,9.840084527
0.01,0,0,0,0.442238574,-0.119571452,0.007391969,0.392498497,0.240786051,0.292690888,-0.282164608,0.036920472,0.040793928,9.841812366
0.01,0,0,0,0.447446321,-0.11867438,0.008259949,0.396308956,0.018904467,0.3349437,-0.283044414,0.023787099,0.03026011,9.851014663
0.01,0,0,0,0.453477154,-0.120913034,0.011703101,0.398491311,0.105730224,0.263190483,-0.305511108,0.029606474,0.037196601,9.839968547
0.01,0,0,0,0.458316185,-0.119828068,0.012827548,0.403579832,0.144871365,0.438901858,-0.321748364,0.026682724,0.037504501,9.839257031
0.01,0,0,0,0.462569267,-0.122149729,0.012784383,0.407018176,0.122152152,0.232266031,-0.269957203,0.036857029,0.026370007,9.833385222
